"ID","Name","Source","diet","sex","strain"
"143804","ORSAM3345-1","JMUS2667","44% fat + fiber","female","C57BL/6J"
"143629","ORSAM3389-1","JMUS2600","10% fat + fiber","female","C57BL/6J"
"143680","ORSAM3390-1","JMUS2601","10% fat + fiber","female","C57BL/6J"
"143832","ORSAM3391-1","JMUS2602","10% fat + fiber","female","C57BL/6J"
"143520","ORSAM3397-1","JMUS2608","10% fat + fiber","male","C57BL/6J"
"143530","ORSAM3398-1","JMUS2609","10% fat + fiber","male","C57BL/6J"
"143523","ORSAM3399-1","JMUS2610","10% fat + fiber","male","C57BL/6J"
"143809","ORSAM3400-1","JMUS2682","44% fat + fiber","female","C57BL/6J"
"143605","ORSAM3401-1","JMUS2683","44% fat + fiber","female","C57BL/6J"
"143549","ORSAM3402-1","JMUS2684","10% fat + fiber","female","C57BL/6J"
"143788","ORSAM3403-1","JMUS2685","10% fat + fiber","female","C57BL/6J"
"143531","ORSAM3404-1","JMUS2686","10% fat + fiber","female","C57BL/6J"
"143652","ORSAM3405-1","JMUS2687","44% fat + fiber","male","C57BL/6J"
"143512","ORSAM3406-1","JMUS2688","44% fat + fiber","male","C57BL/6J"
"143772","ORSAM3407-1","JMUS2689","10% fat + fiber","male","C57BL/6J"
"143858","ORSAM3408-1","JMUS2690","10% fat + fiber","male","C57BL/6J"
"143705","ORSAM3409-1","JMUS2611","10% fat + fiber","male","CAST/EiJ"
"143771","ORSAM3410-1","JMUS2612","10% fat + fiber","male","CAST/EiJ"
"143668","ORSAM3411-1","JMUS2613","10% fat + fiber","male","CAST/EiJ"
"143603","ORSAM3415-1","JMUS2617","10% fat + fiber","female","CAST/EiJ"
"143509","ORSAM3416-1","JMUS2618","10% fat + fiber","female","CAST/EiJ"
"143601","ORSAM3417-1","JMUS2619","10% fat + fiber","female","CAST/EiJ"
"143791","ORSAM3422-1","JMUS2668","10% fat + fiber","female","CAST/EiJ"
"143553","ORSAM3423-1","JMUS2669","10% fat + fiber","female","CAST/EiJ"
"143825","ORSAM3424-1","JMUS2670","10% fat + fiber","female","CAST/EiJ"
"143505","ORSAM3425-1","JMUS2671","44% fat + fiber","male","CAST/EiJ"
"143724","ORSAM3426-1","JMUS2672","44% fat + fiber","male","CAST/EiJ"
"143745","ORSAM3427-1","JMUS2673","44% fat + fiber","male","CAST/EiJ"
"143793","ORSAM3428-1","JMUS2691","44% fat + fiber","female","CAST/EiJ"
"143689","ORSAM3429-1","JMUS2692","44% fat + fiber","female","CAST/EiJ"
"143691","ORSAM3430-1","JMUS2693","44% fat + fiber","female","CAST/EiJ"
"143763","ORSAM3431-1","JMUS2694","44% fat + fiber","female","CAST/EiJ"
"143608","ORSAM3432-1","JMUS2695","44% fat + fiber","male","CAST/EiJ"
"143749","ORSAM3433-1","JMUS2696","44% fat + fiber","male","CAST/EiJ"
"143692","ORSAM3434-1","JMUS2674","44% fat + fiber","female","NZO/HlLtJ"
"143573","ORSAM3435-1","JMUS2675","44% fat + fiber","female","NZO/HlLtJ"
"143748","ORSAM3436-1","JMUS2676","44% fat + fiber","female","NZO/HlLtJ"
"143712","ORSAM3437-1","JMUS2677","44% fat + fiber","female","NZO/HlLtJ"
"143810","ORSAM3438-1","JMUS2678","44% fat + fiber","male","NZO/HlLtJ"
"143633","ORSAM3439-1","JMUS2679","44% fat + fiber","male","NZO/HlLtJ"
"143579","ORSAM3440-1","JMUS2680","44% fat + fiber","male","NZO/HlLtJ"
"143738","ORSAM3441-1","JMUS2681","44% fat + fiber","male","NZO/HlLtJ"
"143785","ORSAM3442-1","JMUS2697","10% fat + fiber","male","NZO/HlLtJ"
"143636","ORSAM3443-1","JMUS2698","10% fat + fiber","male","NZO/HlLtJ"
"143742","ORSAM3444-1","JMUS2699","10% fat + fiber","male","NZO/HlLtJ"
"143538","ORSAM3445-1","JMUS1619","10% fat + fiber","female","CAST/EiJ"
"143630","ORSAM3446-1","JMUS1620","10% fat + fiber","female","CAST/EiJ"
"143662","ORSAM3447-1","JMUS1621","10% fat + fiber","female","CAST/EiJ"
"143639","ORSAM3448-1","JMUS1622","44% fat + fiber","female","CAST/EiJ"
"143623","ORSAM3449-1","JMUS1623","44% fat + fiber","female","CAST/EiJ"
"143757","ORSAM3450-1","JMUS1624","10% fat + fiber","male","CAST/EiJ"
"143725","ORSAM3451-1","JMUS1625","10% fat + fiber","male","CAST/EiJ"
"143566","ORSAM3452-1","JMUS1626","10% fat + fiber","male","CAST/EiJ"
"143609","ORSAM3453-1","JMUS1627","10% fat + fiber","female","CAST/EiJ"
"143620","ORSAM3454-1","JMUS1628","10% fat + fiber","female","CAST/EiJ"
"143584","ORSAM3455-1","JMUS1629","10% fat + fiber","female","CAST/EiJ"
"143737","ORSAM3456-1","JMUS1630","44% fat + fiber","male","CAST/EiJ"
"143806","ORSAM3457-1","JMUS1631","44% fat + fiber","male","CAST/EiJ"
"143703","ORSAM3458-1","JMUS1632","10% fat + fiber","female","NZO/HlLtJ"
"143746","ORSAM3459-1","JMUS1633","10% fat + fiber","female","NZO/HlLtJ"
"143572","ORSAM3460-1","JMUS1634","10% fat + fiber","female","NZO/HlLtJ"
"143511","ORSAM3461-1","JMUS1635","10% fat + fiber","female","NZO/HlLtJ"
"143807","ORSAM3462-1","JMUS1636","10% fat + fiber","male","NZO/HlLtJ"
"143597","ORSAM3463-1","JMUS1637","10% fat + fiber","male","NZO/HlLtJ"
"143717","ORSAM3464-1","JMUS1638","10% fat + fiber","male","NZO/HlLtJ"
"143558","ORSAM3465-1","JMUS1648","10% fat + fiber","female","C57BL/6J"
"143626","ORSAM3466-1","JMUS1649","10% fat + fiber","female","C57BL/6J"
"143828","ORSAM3467-1","JMUS1650","10% fat + fiber","female","C57BL/6J"
"143817","ORSAM3468-1","JMUS1651","10% fat + fiber","female","C57BL/6J"
"143843","ORSAM3469-1","JMUS1652","10% fat + fiber","female","C57BL/6J"
"143527","ORSAM3470-1","JMUS1653","10% fat + fiber","male","C57BL/6J"
"143532","ORSAM3471-1","JMUS1654","10% fat + fiber","male","C57BL/6J"
"143555","ORSAM3472-1","JMUS1655","10% fat + fiber","male","C57BL/6J"
"143839","ORSAM3473-1","JMUS1656","10% fat + fiber","male","C57BL/6J"
"143583","ORSAM3474-1","JMUS1657","10% fat + fiber","male","C57BL/6J"
"143551","ORSAM3513-1","JMUS1673","10% fat + fiber","male","CAST/EiJ"
"143537","ORSAM3514-1","JMUS1674","10% fat + fiber","male","CAST/EiJ"
"143541","ORSAM3550-1","JMUS1658","44% fat + fiber","female","NZO/HlLtJ"
"143814","ORSAM3551-1","JMUS1659","44% fat + fiber","female","NZO/HlLtJ"
"143524","ORSAM3552-1","JMUS1660","44% fat + fiber","female","NZO/HlLtJ"
"143552","ORSAM3553-1","JMUS1661","44% fat + fiber","male","NZO/HlLtJ"
"143820","ORSAM3554-1","JMUS1662","44% fat + fiber","male","NZO/HlLtJ"
"143731","ORSAM3555-1","JMUS1663","44% fat + fiber","male","NZO/HlLtJ"
"143642","ORSAM3556-1","JMUS1664","10% fat + fiber","male","CAST/EiJ"
"143735","ORSAM3557-1","JMUS1665","44% fat + fiber","male","CAST/EiJ"
"143540","ORSAM3558-1","JMUS1666","44% fat + fiber","female","C57BL/6J"
"143648","ORSAM3559-1","JMUS1667","44% fat + fiber","female","C57BL/6J"
"143841","ORSAM3560-1","JMUS1668","44% fat + fiber","female","C57BL/6J"
"143570","ORSAM3561-1","JMUS1669","44% fat + fiber","female","C57BL/6J"
"143711","ORSAM3562-1","JMUS1670","44% fat + fiber","female","C57BL/6J"
"143563","ORSAM3563-1","JMUS1671","44% fat + fiber","male","C57BL/6J"
"143844","ORSAM3564-1","JMUS1672","44% fat + fiber","male","C57BL/6J"
"143528","ORSAM3600-1","JMUS1696","44% fat + fiber","male","C57BL/6J"
"143774","ORSAM3601-1","JMUS1697","44% fat + fiber","male","C57BL/6J"
"143778","ORSAM3602-1","JMUS1698","10% fat + fiber","female","C57BL/6J"
"143816","ORSAM3603-1","JMUS1699","10% fat + fiber","female","C57BL/6J"
"143580","ORSAM3604-1","JMUS1700","10% fat + fiber","female","C57BL/6J"
"143803","ORSAM3605-1","JMUS1701","10% fat + fiber","female","C57BL/6J"
"143677","ORSAM3606-1","JMUS1702","44% fat + fiber","female","C57BL/6J"
"143847","ORSAM3607-1","JMUS1703","44% fat + fiber","female","C57BL/6J"
"143672","ORSAM3608-1","JMUS1704","44% fat + fiber","female","C57BL/6J"
"143675","ORSAM3609-1","JMUS1690","44% fat + fiber","female","CAST/EiJ"
"143767","ORSAM3610-1","JMUS1691","44% fat + fiber","female","CAST/EiJ"
"143805","ORSAM3611-1","JMUS1692","10% fat + fiber","male","CAST/EiJ"
"143617","ORSAM3612-1","JMUS1693","10% fat + fiber","male","CAST/EiJ"
"143823","ORSAM3613-1","JMUS1694","10% fat + fiber","male","CAST/EiJ"
"143556","ORSAM3614-1","JMUS1695","10% fat + fiber","male","CAST/EiJ"
"143719","ORSAM3615-1","JMUS1686","44% fat + fiber","male","CAST/EiJ"
"143514","ORSAM3616-1","JMUS1687","44% fat + fiber","male","CAST/EiJ"
"143504","ORSAM3617-1","JMUS1688","44% fat + fiber","male","CAST/EiJ"
"143750","ORSAM3618-1","JMUS1689","44% fat + fiber","male","CAST/EiJ"
"143682","ORSAM3619-1","JMUS1639","10% fat + fiber","female","NZO/HlLtJ"
"143714","ORSAM3620-1","JMUS1640","10% fat + fiber","female","NZO/HlLtJ"
"143744","ORSAM3621-1","JMUS1641","44% fat + fiber","female","NZO/HlLtJ"
"143560","ORSAM3622-1","JMUS1642","44% fat + fiber","female","NZO/HlLtJ"
"143822","ORSAM3623-1","JMUS1643","10% fat + fiber","male","NZO/HlLtJ"
"143658","ORSAM3624-1","JMUS1644","10% fat + fiber","male","NZO/HlLtJ"
"143781","ORSAM3625-1","JMUS1645","44% fat + fiber","male","NZO/HlLtJ"
"143526","ORSAM3626-1","JMUS1646","44% fat + fiber","male","NZO/HlLtJ"
"143699","ORSAM3627-1","JMUS1647","44% fat + fiber","male","NZO/HlLtJ"
"143663","ORSAM3628-1","JMUS1681","10% fat + fiber","female","NZO/HlLtJ"
"143586","ORSAM3629-1","JMUS1682","10% fat + fiber","female","NZO/HlLtJ"
"143610","ORSAM3630-1","JMUS1683","10% fat + fiber","male","NZO/HlLtJ"
"143637","ORSAM3631-1","JMUS1684","10% fat + fiber","male","NZO/HlLtJ"
"143732","ORSAM3632-1","JMUS1685","10% fat + fiber","male","NZO/HlLtJ"
"143698","ORSAM3633-1","JMUS1675","44% fat + fiber","female","NZO/HlLtJ"
"143766","ORSAM3634-1","JMUS1676","44% fat + fiber","female","NZO/HlLtJ"
"143535","ORSAM3635-1","JMUS1677","44% fat + fiber","female","NZO/HlLtJ"
"143821","ORSAM3636-1","JMUS1678","44% fat + fiber","male","NZO/HlLtJ"
"143576","ORSAM3637-1","JMUS1679","44% fat + fiber","male","NZO/HlLtJ"
"143800","ORSAM3638-1","JMUS1680","44% fat + fiber","male","NZO/HlLtJ"
"143635","ORSAM3639-1","JMUS2700","10% fat + fiber","female","CAST/EiJ"
"143801","ORSAM3640-1","JMUS2701","10% fat + fiber","female","CAST/EiJ"
"143653","ORSAM3641-1","JMUS2702","10% fat + fiber","female","CAST/EiJ"
"143587","ORSAM3642-1","JMUS2703","10% fat + fiber","female","CAST/EiJ"
"143545","ORSAM3643-1","JMUS2704","10% fat + fiber","female","CAST/EiJ"
"143733","ORSAM3644-1","JMUS2705","44% fat + fiber","female","CAST/EiJ"
"143684","ORSAM3645-1","JMUS2706","44% fat + fiber","female","CAST/EiJ"
"143664","ORSAM6240-1","JMUS3185","44% fat + fiber","male","NZO/HlLtJ"
"143848","ORSAM6241-1","JMUS3184","44% fat + fiber","male","NZO/HlLtJ"
"143568","ORSAM6245-1","JMUS3180","10% fat + fiber","female","NZO/HlLtJ"
"143716","ORSAM6246-1","JMUS3179","10% fat + fiber","female","NZO/HlLtJ"
"143773","ORSAM6249-1","JMUS3170","10% fat + fiber","male","C57BL/6J"
"143852","ORSAM6250-1","JMUS3169","10% fat + fiber","male","C57BL/6J"
"143611","ORSAM6253-1","JMUS3160","44% fat + fiber","male","C57BL/6J"
